title,overview,poster_path,vote_average,genre_ids
Lee Cronin's The Mummy,"The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.",/uIb9Tvae5haF0XcQBaPyufmxbb0.jpg,8.057,"[27, 9648]"
Tom Clancy's Jack Ryan: Ghost War,"Jack Ryan is reluctantly pulled back into espionage when an international covert mission unravels a deadly conspiracy. Racing against time, he joins CIA allies Mike November & James Greer and sharp MI6 officer Emma Marlowe to battle a rogue black-ops unit in a high-stakes, deeply personal fight.",/8ehYxUh5MWE41AeE9gkHE8DKzvB.jpg,7.236,"[28, 53]"
The Punisher: One Last Kill,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",/qQclTgLMDvGBuUBFGHRipxkEwWR.jpg,8.43,"[28, 18, 80]"
Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",/yihdXomYb5kTeSivtFndMy5iDmf.jpg,8.63,"[878, 12]"
The Super Mario Galaxy Movie,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,7.988,"[10751, 35, 12, 14, 16]"
Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",/6X4qFYBsG3bpWDG2XIKqr04kFJa.jpg,7.887,[27]
Swapped,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",/tHhxWxge06goXU6ZQH1hj7vK8Hd.jpg,8.971,"[12, 16, 10751, 14]"
Dhurandhar: The Revenge,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.",/ov8vrRLZGoXHpYjSY9Vpv1tHJX7.jpg,7.3,"[28, 80, 53]"
Your Heart Will Be Broken,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",/7wIBfBl2gejt6xHxNSK0reVIm7E.jpg,6.744,"[10749, 18]"
Mortal Kombat II,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",/lIsMeDbwntNXSUVHmWMMRXEZOVc.jpg,6.796,"[28, 14, 12]"
Pati Patni Aur Woh Do,"A seemingly perfect marriage in Prayagraj takes an unexpected turn when one decision leads to a chain of misunderstandings, suspicion, and comedic chaos.",/x0RUPvba4JlCCkyyEZGlQFIFVuF.jpg,7.667,[35]
The Devil Wears Prada,"A young woman from the Midwest gets more than she bargained for when she moves to New York to become a writer and ends up as the assistant to the tyrannical, larger-than-life editor-in-chief of a major fashion magazine.",/8912AsVuS7Sj915apArUFbv6F9L.jpg,7.423,"[18, 35]"
The Mandalorian and Grogu,"The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.",/5Vi8dSauVwH1HOsiZceDMbRr1Ca.jpg,6.763,"[28, 12, 878]"
Mortal Kombat,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",/ybrX94xQm8lXYpZAPRmwD9iIbWP.jpg,7.03,"[28, 14, 12]"
Apex,A grieving woman pushing her limits on a solo adventure in the Australian wild is ensnared in a twisted game with a cunning killer who thinks she's prey.,/eTp7gSPkSF3Aw79mNx1NkBP1PZT.jpg,6.689,"[28, 53]"
Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",/aabwWZWx6z1aYP4PX2ADvbDKktd.jpg,7.501,"[878, 12, 14]"
System,"When Neha Rajvansh, a privileged public prosecutor, meets Sarika Rawat, a courtroom stenographer from a humble background, their lives are thrown into upheaval where power defines truth, blurring the system and raising a question of what justice truly means to them.",/wznZGK0WTgbIJWuZVdWG3oPECL.jpg,7.5,[53]
The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,/cHKo3m8N1fwvEy2ZEr0xGmmMODV.jpg,7.373,"[28, 80, 18, 53]"
Mortal Game,"A group of hunters travel to a mysterious island to track down a legendary forest creature. They soon realize their guide has set them up as bait, forcing them to confront a highly intelligent predator that terrorizes them one by one.",/iCvucorbs3hFqWshDbLe0fHzB71.jpg,4.917,"[27, 28]"
Ladies First,"An arrogant but charismatic ladies' man finds his life of money, power and casual flings upended when he wakes up in a parallel world dominated by women.",/kjR56Yv17pbjTVBTMjqepvcus4f.jpg,5.694,"[35, 14]"
Graphic Desires,"When reclusive Franklin cheats on his partner with a mysterious girl he meets on a dating app, it becomes the start of a deadly obsession.",/3BjLdTWRiHc1ISIZMFvToOmghOM.jpg,7.027,"[53, 80]"
Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,8.117,"[12, 16, 35, 10751, 878]"
Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",/3Qud19bBUrrJAzy0Ilm8gRJlJXP.jpg,7.6,"[10402, 18]"
Beast,"MMA legend Patton James, now a commercial fisherman, is pulled back into the cage when his brother is in danger. Reuniting with his old coach Sammy, he commits to one final fight in one championship against the brutal champion Xavier Grau.",/7NrvUI3vnW8H3rD7ExKcTL7KRcQ.jpg,6.307,"[28, 18]"
Demon Slayer: Kimetsu no Yaiba Infinity Castle,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,7.722,"[16, 28, 14]"
Kartavya,"With his family's safety at stake and menacing threats closing in, a police officer must decide how far he'll go to uphold his duty.",/doTwMyAphlDL5Z8WqE3elWWvj8M.jpg,6.2,"[80, 18, 53]"
GOAT,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg,8.101,"[16, 35, 10751]"
Worldbreaker,"Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe.",/ahj1JU8r0uJv7QII5Uj7tKzbEsC.jpg,5.893,"[878, 28, 27]"
Nymphomaniac: Vol. II,The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.,/iLUNqgNKuWn667kXCKztSxYbT3k.jpg,6.711,"[18, 9648]"
Chand Mera Dil,"Aarav and Chandni's passionate college romance is struck by adulthood far too soon, forcing the two young lovers to balance their ambitions with responsibility and realize the evolved meaning of love.",/9LPkXJustudEBgPZEm9tgDx5KtC.jpg,0.0,"[10749, 18]"
Aakhri Sawal,"Vicky, a brilliant but volatile scholar who ignites a national firestorm when he publicly accuses his legendary mentor, Professor Gopal Nadkarni, of institutional bias. What begins as a faculty dispute is quickly hijacked by a sensationalist news anchor and an ambitious political activist, turning a private disagreement into a televised ""intellectual trial"" watched by millions.",/9CXBZH6sRJpFTMSaY3wj1jx98F4.jpg,1.0,"[18, 53]"
Dhurandhar,"A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.",/8FHOtUpNIk5ZPEay2N2EY5lrxkv.jpg,7.1,"[28, 80, 53]"
Karuppu,"In a world where justice falters, guardian deity Vettai Karuppu takes the guise of a lawyer to battle a corrupt legal system preying on the powerless. Karuppu blends action, justice, and myth into a gripping supernatural drama.",/k71MULHG8q9ThhFL1fcdAcOporW.jpg,7.4,"[14, 28, 18]"
Remarkably Bright Creatures,"Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.",/9HcEqn3D4J6b2Z0jK54id9nA0fr.jpg,8.525,"[18, 9648]"
The Mummy,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,/yhIsVvcUm7QxzLfT6HW2wLf5ajY.jpg,6.973,"[12, 28, 14]"
My Dearest Assassin,"Hunted for her rare blood type, a caged woman vows to fight alongside the assassin she loves to protect their future when an old enemy resurfaces.",/ul4dQcA68mtSx8J56N5gEcaCCtP.jpg,8.642,"[28, 18, 10749]"
Damage,The life of a respected British politician at the height of his career crumbles when he becomes obsessed with his son's lover.,/alf3JOPP7EYP0iO24gwe5YfRnqo.jpg,6.566,"[18, 10749]"
Ready or Not: Here I Come,"Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.",/13ZcJzSGEqVgDSqsS9U5EkQwPkV.jpg,7.696,"[53, 27, 35]"
After We Fell,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",/dU4HfnTEJDf9KvxGS9hgO7BVeju.jpg,7.005,"[18, 10749]"
Madness,"An escaped convicted murderer invades the cottage of a man, his wife and the wife's sister, whereupon he proceeds to torment this already dysfunctional trio with rape and violence.",/gV0J0Fqw2mYMtQbzb0ruxv9MAeZ.jpg,4.903,"[53, 28, 80]"
Accidental Partners,Two women discover they were both scammed by the same man (who also got them pregnant). They form an alliance to take revenge.,/sr1Yoj6XLPTWYcbDoBy67xivW4I.jpg,9.049,"[35, 10749]"
Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,7.638,"[12, 16, 35, 10751, 9648]"
The Sheep Detectives,"George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.",/6QtL9rl3Zb4d8qW6EJ4qO5hSSfU.jpg,7.593,"[35, 10751, 9648]"
Shelter,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg,7.604,"[28, 80, 53]"
Avatar Aang: The Last Airbender,"Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve.",/29Jdsak3SrwGds5k1t43kH6Khed.jpg,0.0,"[16, 28, 12, 14]"
The Last Supper,"In a deserted house, a mysterious man savors an exquisite menu in the company of an unseen guest. From this eerie dinner table, a succession of terrifying stories is revealed-each probing primal fears of hunger, flesh, and survival.",/6rGa9huzhmG1i2iu2Vcyv5HI02t.jpg,0.0,[27]
Bhooth Bangla,"A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past.",/79RBp8afL4u4z3nVGR78z6eIvBB.jpg,6.5,"[27, 35]"
Mexican Psycho,"Follows an ""ultra-violent and intelligent"" psychopath who challenges the police by leaving a white paper rabbit at each crime scene, connecting them all.",/7tIgfsTWuzXKR2kLRUPrLRTbcuo.jpg,7.905,"[53, 27]"
Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,/yQvGrMoipbRoddT0ZR8tPoR7NfX.jpg,8.475,"[12, 18, 878]"
Normal,"An unassuming substitute sheriff with a troubled past responds to a bank robbery in a small, sleepy town and unknowingly uncovers something far more explosive.",/rsNdDcCKjCZm9RBMAxL3vMUokKU.jpg,6.452,"[28, 80, 53]"
